Abiotrophia,Acetitomaculum,Acidaminobacter,Actinobaculum,Actinotignum,Aggregatibacter,Akkermansia,Alkalibacter,Alloprevotella,Alloscardovia,Anaeroglobus,Anaeroplasma,Anaerosolibacter,Anaerostipes,Anaerovorax,Arcobacter,Arthrobacter,Azorhizophilus,Bavariicoccus,Bifidobacterium,Brachyspira,Bulleidia,Butyrivibrio,Carnobacterium,Catabacter,Cedecea,Christensenella,Cloacibacterium,Clostridium.XI,Clostridium.XlVb,Coriobacterium,Cosenzaea,Cronobacter,Desulfohalobium,Dysgonomonas,Erwinia,Erysipelothrix,Erysipelotrichaceae_incertae_sedis,Facklamia,Falsiporphyromonas,Finegoldia,Fusicatenibacter,Gardnerella,Geopsychrobacter,Haemophilus,Herbaspirillum,Howardella,Hungatella,Intestinibacter,Kandleria,Lactococcus,Lawsonia,Leclercia,Lelliottia,Mangrovibacter,Mangrovibacterium,Melissococcus,Meniscus,Mesorhizobium,Methanobrevibacter,Methanosphaera,Methylobacterium,Mobiluncus,Moellerella,Natranaerovirga,Neisseria,Obesumbacterium,Odoribacter,Oscillibacter,Parabacteroides,Parvimonas,Pelomonas,Pelospora,Peptostreptococcus,Pilibacter,Piscinibacter,Plesiomonas,Porphyromonas,Propionispora,Providencia,Pseudomonas,Pseudoramibacter,Pseudoxanthomonas,Puniceicoccus,Ralstonia,Renibacterium,Romboutsia,Rosenbergiella,Rothia,Samsonia,Schwartzia,Sharpea,Sphingomonas,Sporacetigenium,Subdoligranulum,Sutterella,Tepidimicrobium,Terrisporobacter,Varibaculum,Victivallis
0,0.002779129,0,0,0,0,0.002402956,0,0.002841816,0.002403063,0.008233521,0,0,0.055191471,0.002904511,0,0,0,0,0.201833198,0,0,0.002967203,0,0.002465639,0,0.004597264,0,0,0.009236624,0.002779181,0,0,0,0,0,0,0.002528354,0.002359677,0,0,0.306657899,0.003407272,0,0,0,0,0.003907614,0,0,0.00371953,0,0,0,0.002403688,0.00234577,0,0,0,0,0,0,0,0,0,0,0,0.116130231,0.038138649,0.247035716,0,0,0,0,0.00240305,0,0,0.003155124,0,0,0,0,0,0.00234891,0,0,0.002841805,0.002528835,0,0,0,0,0,0.002349408,0.003029897,0.067479533,0.002358054,0,0,0.01556874
0,0,0,0,0,0,0.002178061,0,0.002367365,0,0,0,0,0.043446437,0.003124584,0,0,0,0,0.059442666,0,0,0.024610642,0,0,0,0.002272715,0,0.001894086,0.018552898,0.002367412,0,0,0,0,0,0,0.002272714,0,0,0,0.09976452,0,0,0,0,0.010886055,0.003787149,0.003124583,0,0.001988755,0,0,0,0,0.001806482,0,0,0,0,0,0.001803301,0,0,0,0,0,0.132608847,0.098250084,0.547280307,0,0,0,0,0.001894113,0,0,0,0,0,0,0,0,0,0,0,0.006342761,0,0,0,0,0,0,0,0.003503192,0.003503192,0,0,0,0.004260412
0.000972526,0.001693389,0.001092738,0,0,0,0.01617097,0,0.000912445,0,0,0,0.001274634,0.085555208,0.005958572,0,0,0,0,0.085254844,0,0,0.015990752,0,0.004636964,0,0.00265456,0,0,0.017492575,0,0,0,0,0,0,0.000792704,0,0,0.000972514,0,0.109284017,0.001152724,0,0.002714633,0,0,0.00181354,0.001092664,0,0.001633321,0.000852377,0,0,0,0,0,0,0,0.011365136,0.003675797,0,0,0,0.001393022,0,0,0.055338523,0.53165681,0.076664414,0,0,0.001032272,0,0,0,0,0,0.002593938,0,0,0,0,0.000973891,0,0,0.002834779,0,0.000852357,0,0,0,0,0.000792809,0.001332956,0.001753466,0,0.001152737,0,0.002173977
0,0.001555814,0.001039465,0,0,0,0.001349425,0,0.002381367,0,0,0,0,0.070695922,0.004135665,0,0,0,0,0.002381367,0,0,0.018995632,0,0.001143055,0,0.003516499,0,0,0.024671313,0.001246193,0,0,0,0,0,0,0,0,0,0,0.231369282,0,0,0.001968591,0,0,0.003929285,0,0,0.0035165,0.001039783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0479932,0.165015415,0.129619807,0,0,0,0,0.00114304,0,0,0,0,0,0,0,0,0,0,0,0.004342047,0,0,0,0,0,0,0.00094701,0.001143037,0.313821442,0,0,0,0.001039843
0,0,0,0,0,0,0.00018436,0,0.001659195,0,0,0,0,0.022245443,0,0,0,0,0,0.000307263,0,0,0.000122909,0,0,0,0,0,0.00018438,0.000737423,6.13787727075486e-05,0,0,0,0,0,0,0.002949619,0,0,0,0.819455539,0,0,0.008849019,0,0,0.007558546,0.013642235,0,0.000614524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14570801623398e-05,0.000122909,0.001536293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020279,0,0,0,0,0,0,0,0.000184358,0.117433791,0,0,0,6.14589441768465e-05
0,0,0,0,0,0,0.21522364,0,0.000733994,0,0,0,0,0.012344889,0.007260608,0,0,0,0,0.48262341,0,0,0.003357215,0,0,0,0.000273849,0,0.00010009,0.005259714,6.67267207153104e-05,0,0,0,0,0,0,0.000333634,0,0,0,0.063056376,0.000633904,0,6.67267207153104e-05,3.33633603576552e-05,0.00010009,0.002930792,0.026646448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027138473,0.020086099,0.102976092,0,0,0,0,0.00010009,0,0,0,0,0,0,0,0,0,0,0,0.000133453,3.33633603576552e-05,0,0,0,0,0,0,0.000433724,0.000372254,0,0,0,3.33633603576552e-05
0,7.94647106866536e-05,0,0,0,0,0.000794545,0,3.97381358083944e-05,0,0,0,0,0.012911182,7.94666343316914e-05,0,0,0,0,0.420586363,0,0,0.017678383,0,0,0,3.97379548748587e-05,0,0,0.005601474,3.97237093229672e-05,0,0,0,0,0,0,3.97692761459155e-05,0,0,0,0.36989512,0.000595851,0,0.023240119,0,3.97437442678031e-05,0.00250279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000119191,0.031463541,0.000794545,0,0,0,0,0,0,0,0,0,0,0.000119074,0,0,0,0,0,7.94624524006022e-05,0,0.00023828,0,0,0,0,0,0.000476732,0.112386787,0,0.000158917,0,0
0,0.001322941,0,0,0,0.001985094,0.001405717,0,0.001405717,0,0,0,0,0.022519332,0,0,0,0,0,0.298321109,0,0,0.025500079,0,0,0,0.00140571,0,0.001323063,0.010430753,0.001322901,0,0,0,0,0,0,0.00140571,0.00124572,0,0,0.439244142,0.001654011,0,0.001736911,0,0,0.001902511,0.003724077,0,0.001488516,0,0,0,0,0,0,0,0,0.001488516,0,0,0,0,0,0,0,0.111362114,0.049097648,0.076007158,0,0,0,0,0.001322912,0,0,0,0,0,0,0,0,0.001246496,0,0,0.001571312,0,0.00132289,0,0,0,0,0,0.001819713,0.001654113,0,0.001405713,0,0.001322918
0,0.000623108,0.000139216,0,0,0,0.363880349,0,0.017888262,0,0.001313789,0,0,0.004007144,0.002764046,0,0,0,0,0.130387485,0,0.000624142,0.013192164,0,0.006631575,0,0.008427014,0,0,0.002902176,0.000761264,0,0,0,0,0,0,0.000139798,0,0,0,0.037294206,0.000209114,0,0,0,0.005802704,0.002142511,0,0,0,7.07352096396842e-05,0,0,0,0,0,0,0,0.006493314,0,0,0,0,0.000139706,0,0,0.005319289,0.282389199,0.080664072,0,0,0.000139509,0,0.000208742,3.96741569075125e-05,0,0,0,0,0.000209136,0,0,4.68427618009494e-05,0,0,0.000899445,7.07339608474316e-05,0.000139868,0,7.08146382090269e-05,0,0,0,0.000968482,0.006217072,0,0,0,0.016783297
0,0,0,0,0,0,0.002589105,0,0.002832423,0,0,0,0,0.070150488,0.002589112,0,0,0,0,0.012402943,0,0,0.004860076,0,0,0,0.002751315,0,0,0.034950438,0.0026702,0,0,0,0,0,0,0.002913509,0,0,0,0.006319986,0,0,0,0,0.002670215,0.002751322,0,0,0.003724591,0,0,0,0,0,0,0,0,0,0,0.00243768,0,0,0,0,0,0.061066605,0.102349611,0.767906288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002751228,0,0,0,0,0.002431428,0.004373438,0.002507999,0,0,0,0
